hexid,population,infections,geometry,date,infectionsPC
65,54.56356664102813,0.00972778224919109,"list(c(-2249195.38465231, -2267015.1110266, -2267015.1110266, -2249195.38465231, -2231375.65827803, -2231375.65827803, -2249195.38465231, 2162606.7412727, 2172894.96509177, 2193471.41272992, 2203759.63654901, 2193471.41272993, 2172894.96509177, 2162606.7412727))",2020-09-17,1.782834746340877e-4
66,288.5386376989407,0.4181226942818099,"list(c(-2249195.38465231, -2267015.1110266, -2267015.1110266, -2249195.38465232, -2231375.65827803, -2231375.65827803, -2249195.38465231, 2224336.08418716, 2234624.30800624, 2255200.75564439, 2265488.97946346, 2255200.75564439, 2234624.30800623, 2224336.08418716))",2020-09-17,0.00144910469397196
67,477.0814988954128,0.00927654748691304,"list(c(-2249195.38465231, -2267015.1110266, -2267015.1110266, -2249195.38465231, -2231375.65827803, -2231375.65827803, -2249195.38465231, 2286065.42710163, 2296353.6509207, 2316930.09855885, 2327218.32237793, 2316930.09855886, 2296353.6509207, 2286065.42710163))",2020-09-17,1.944436644135444e-5
68,736.4154999993867,0.0412235944346031,"list(c(-2249195.38465232, -2267015.1110266, -2267015.1110266, -2249195.38465232, -2231375.65827803, -2231375.65827803, -2249195.38465232, 2347794.77001609, 2358082.99383516, 2378659.44147332, 2388947.66529239, 2378659.44147332, 2358082.99383517, 2347794.77001609))",2020-09-17,5.5978716410283905e-5
69,859.6748517363098,0.17431015173695544,"list(c(-2249195.38465232, -2267015.1110266, -2267015.1110266, -2249195.38465231, -2231375.65827803, -2231375.65827803, -2249195.38465232, 2409524.11293055, 2419812.33674963, 2440388.78438778, 2450677.00820686, 2440388.78438778, 2419812.33674963, 2409524.11293055))",2020-09-17,2.0276288341446332e-4
70,28.473539878688605,0.0028866885234098,"list(c(-2249195.38465232, -2267015.1110266, -2267015.1110266, -2249195.38465232, -2231375.65827803, -2231375.65827803, -2249195.38465232, 2471253.45584502, 2481541.67966409, 2502118.12730224, 2512406.35112132, 2502118.12730225, 2481541.67966409, 2471253.45584502))",2020-09-17,1.0138144170723166e-4
71,5338.696045589453,0.5755144226012232,"list(c(-2249195.38465232, -2267015.1110266, -2267015.1110266, -2249195.38465232, -2231375.65827803, -2231375.65827803, -2249195.38465232, 2532982.79875947, 2543271.02257856, 2563847.47021671, 2574135.69403579, 2563847.47021671, 2543271.02257856, 2532982.79875947))",2020-09-17,1.0780055985331524e-4
72,32263.70068546407,5.157462266417715,"list(c(-2249195.38465231, -2267015.1110266, -2267015.1110266, -2249195.38465231, -2231375.65827803, -2231375.65827803, -2249195.38465231, 2594712.14167394, 2605000.36549302, 2625576.81313118, 2635865.03695026, 2625576.81313117, 2605000.36549302, 2594712.14167394))",2020-09-17,1.598534004730999e-4
73,7666.70618074455,0.8785235822563537,"list(c(-2231375.65827803, -2249195.38465232, -2249195.38465232, -2231375.65827803, -2213555.93190375, -2213555.93190375, -2231375.65827803, 1637907.32649974, 1648195.55031882, 1668771.99795698, 1679060.22177606, 1668771.99795698, 1648195.55031882, 1637907.32649974))",2020-09-17,1.1458944187307257e-4
74,1283.461738280244,0.5926714638444454,"list(c(-2231375.65827803, -2249195.38465232, -2249195.38465232, -2231375.65827803, -2213555.93190375, -2213555.93190375, -2231375.65827803, 1699636.66941421, 1709924.89323329, 1730501.34087144, 1740789.56469052, 1730501.34087144, 1709924.89323329, 1699636.66941421))",2020-09-17,4.6177571653876256e-4
