hexid	date	distToFront	geometry
3591	2020-09-17	0	c(-31066.9533513541, -33225.3319256683, 5353595.06450237, 5330403.0749507)
3624	2020-09-17	0	c(-33225.3319256683, -20768.9503466276, 5330403.0749507, 5317567.66203999)
3625	2020-09-17	0	c(-16562.5097490052, -31066.9533513541, 5363953.6516046, 5353595.06450237)
3651	2020-09-17	0	c(-53295.8955669126, -69033.1020903044, 4771201.57694951, 4760810.96064867)
3721	2020-09-17	0	c(-39433.4724622502, -53295.8955669126, 4758422.11362641, 4771201.57694951)
3624	2020-09-17	0	c(-20768.9503466276, -22861.8471814801, 5317567.66203999, 5294374.07045375)
3658	2020-09-17	0	c(-22861.8471814801, -10290.0140850753, 5294374.07045375, 5281568.6557112)
3625	2020-09-17	0	c(-14449.0222612987, -16562.5097490052, 5387146.05044447, 5363953.6516046)
3660	2020-09-17	0	c(-49.6290110745467, -14449.0222612987, 5397538.51007956, 5387146.05044447)
3730	2020-09-17	0	c(12287.3040164537, -49.6290110745467, 5384769.70880961, 5397538.51007956)
3658	2020-09-17	0	c(-10290.0140850753, -12317.9275160215, 5281568.6557112, 5258373.68277837)
3692	2020-09-17	0	c(-12317.9275160215, 368.588778664416, 5258373.68277837, 5245598.5743644)
3721	2020-09-17	0	c(-23747.5716645952, -39433.4724622502, 4768876.54003562, 4758422.11362641)
3793	2020-09-17	0	c(-9835.40642387519, -23747.5716645952, 4756162.02964299, 4768876.54003562)
3692	2020-09-17	0	c(368.588778664416, -1594.8456329318, 5245598.5743644, 5222402.43327789)
3727	2020-09-17	0	c(-1594.8456329318, 11205.5821381666, 5222402.43327789, 5209657.9236057)
3730	2020-09-17	0	c(26632.4726360509, 12287.3040164537, 5395227.1394507, 5384769.70880961)
3695	2020-09-17	17689.64366328016	c(18334.2506697016, 16312.1850390852, 5454351.61779491, 5431157.91821051)
3730	2020-09-17	0	c(16312.1850390852, 28589.343844883, 5431157.91821051, 5418422.34344566)
3727	2020-09-17	0	c(11205.5821381666, 9306.11643209268, 5209657.9236057, 5186460.82000237)
3762	2020-09-17	18118.781445749937	c(9306.11643209268, 22219.6807872078, 5186460.82000237, 5173747.18571983)
3835	2020-09-17	0	c(22219.6807872078, 36974.3113127448, 5173747.18571983, 5184263.41694275)
3730	2020-09-17	0	c(28589.343844883, 26632.4726360509, 5418422.34344566, 5395227.1394507)
3793	2020-09-17	0	c(5799.30346514983, -9835.40642387519, 4766680.1909255, 4756162.02964299)
3866	2020-09-17	0	c(19761.1679518509, 5799.30346514983, 4754030.50642639, 4766680.1909255)
3835	2020-09-17	0	c(36974.3113127448, 49942.227010106, 5184263.41694275, 5171613.52197448)
3908	2020-09-17	0	c(49942.227010106, 64643.650189522, 5171613.52197448, 5182194.38430724)
3866	2020-09-17	0	c(35344.7984592536, 19761.1679518509, 4764612.3340118, 4754030.50642639)
3830	2020-09-17	0	c(24651.297203287, 23014.9123183633, 4823628.59032394, 4800429.27003253)
3866	2020-09-17	0	c(23014.9123183633, 36921.1848448575, 4800429.27003253, 4787811.22176942)
3867	2020-09-17	0	c(40092.3932645252, 24651.297203287, 4834209.03675699, 4823628.59032394)
3866	2020-09-17	0	c(36921.1848448575, 35344.7984592536, 4787811.22176942, 4764612.3340118)
3867	2020-09-17	0	c(41687.1731920459, 40092.3932645252, 4857407.96414215, 4834209.03675699)
3904	2020-09-17	0	c(57030.5402266589, 41687.1731920459, 4868019.88065343, 4857407.96414215)
3978	2020-09-17	0	c(70825.5490137576, 57030.5402266589, 4855465.24237906, 4868019.88065343)
3870	2020-09-17	18293.89947175737	c(56311.627226141, 54662.8187943972, 5066198.92093475, 5042999.87060157)
3906	2020-09-17	18351.921908663895	c(54662.8187943972, 68021.1251355068, 5042999.87060157, 5030412.18872984)
3907	2020-09-17	0	c(71213.280991199, 56311.627226141, 5076810.58776655, 5066198.92093475)
3908	2020-09-17	0	c(64643.650189522, 77665.8133307858, 5182194.38430724, 5169608.1846679)
3906	2020-09-17	18351.921908663895	c(68021.1251355068, 66433.6490710149, 5030412.18872984, 5007213.08886899)
3943	2020-09-17	0	c(66433.6490710149, 79901.1779212235, 5007213.08886899, 4994657.42890243)
3907	2020-09-17	0	c(72817.9184479083, 71213.280991199, 5100009.88705977, 5076810.58776655)
3945	2020-09-17	0	c(87617.9948572979, 72817.9184479083, 5110654.1376432, 5100009.88705977)
4019	2020-09-17	0	c(100862.429112005, 87617.9948572979, 5098130.84780409, 5110654.1376432)
3908	2020-09-17	0	c(77665.8133307858, 76044.2060124974, 5169608.1846679, 5146408.68546253)
3945	2020-09-17	18166.603614319916	c(76044.2060124974, 89177.8914269842, 5146408.68546253, 5133853.83133013)
4019	2020-09-17	0	c(89177.8914269842, 103875.776250075, 5133853.83133013, 5144530.80040412)
3978	2020-09-17	0	c(86117.4260152609, 70825.5490137576, 4866141.06239051, 4855465.24237906)
3942	2020-09-17	18530.19085886127	c(75337.9551611516, 73828.1468022421, 4925060.80957391, 4901862.17038358)
3978	2020-09-17	0	c(73828.1468022421, 87567.4736013877, 4901862.17038358, 4889339.29356887)
3979	2020-09-17	0	c(90484.0063832839, 75337.9551611516, 4935736.25362287, 4925060.80957391)
